Subj,zygosity,Age,FE,Update_all,exp_all,fam_all,viv_all,neg_all,EEAll,learning_all,subjectivelearning,N_Correct_perc,Subj,FE,Gender,Age.Gender
21901,DZ,68,38.5,13.25,1.5,4.85,5.7,4.45,19.3,0.652334578,0.599021014,2.5,21901,38.5,2,136
21902,DZ,68,32.175,21.5,1.6,2.55,5.2,4,24.475,0.607397089,0.820667998,0,21902,32.175,2,136
22231,DZ,76,32.225,5.15,1.9,5.7,5.05,1.55,28.125,0.337524488,0.517098972,0,22231,32.225,1,76
22232,DZ,76,11.175,0.7,1.5,3.6,4.75,4.3,30.875,0.139812047,0.753186107,0,22232,11.175,1,76
22321,MZ,55,38.025,6.9,2.15,4.25,3.7,3.55,15.475,0.390690613,0.49448658,7.5,22321,38.025,1,55
22322,MZ,55,31.7,2.05,1.2,2.6,4.25,2.7,18.45,0.009428909,-0.409534618,10,22322,31.7,1,55
22471,MZ,55,34.5,4.5,3.1,3.8,3.8,3.5,17.5,0.141417997,0.616406091,0,22471,34.5,1,55
22472,MZ,55,35.425,4.725,2.6,4.6,4.3,4,13.325,0.571956524,0.430419105,2.5,22472,35.425,1,55
22851,MZ,65,30.95,3.875,1.8,2.2,2.75,5.2,19.4,0.169573331,0.373872,7.5,22851,30.95,1,65
22852,MZ,65,37.1,11.45,1.3,1.95,2.85,5.15,16.15,0.435591444,0.888077978,0,22852,37.1,1,65
22871,MZ,59,39.15,11.95,2.75,3.75,3.6,4.4,25.15,0.299347815,-0.193551469,0,22871,39.15,1,59
22872,MZ,59,42.225,28.85,1.9,1.95,3.2,4.1,21.825,0.708284096,0.844232163,5,22872,42.225,1,59
23101,MZ,63,42.575,13.925,1.4,2.25,1.95,5.4,25.575,0.490995989,0.673562146,0,23101,42.575,1,63
23102,MZ,63,25.9,4.325,1.3,4.9,2,4.9,28.35,0.137662322,0.868735278,0,23102,25.9,1,63
23591,MZ,46,25.975,2.3,1.75,3.5,4.15,2.25,25.975,0.006904453,0.903628717,2.5,23591,25.975,1,46
23592,MZ,46,39.55,14.825,1.2,3.6,3.65,4.5,23.3,0.487789205,0.727295156,10,23592,39.55,1,46
24471,MZ,51,22.4,2.875,1.25,4.2,5.2,5.4,24.55,0.167580878,0.023145316,2.5,24471,22.4,1,51
24472,MZ,51,25.775,4.975,1.5,3.5,4.45,4.2,17.825,-0.091786395,0.411843892,5,24472,25.775,1,51
24491,MZ,51,40.775,9.325,2.1,3.25,5.05,3.8,11.125,0.557234996,0.901705731,5,24491,40.775,1,51
